 y-coordinate [pixel] , x-coordinate [pixel] , Frame number , Cell ID , Distance from origin [micrometer] , Distance from last point [micrometer] , Instantaneous speed [micrometer/hour] , Angle from origin [degree] , Angle from last point [degree] 
191,47,1,1,,,,,
160,35,2,1,33.24154028,33.24154028,11.08051343,111,111
165,36,3,1,28.23118843,5.099019514,1.699673171,112,281
171,39,4,1,21.54065923,6.708203932,2.236067977,111,296
175,35,5,1,20,5.656854249,1.885618083,126,225
173,31,6,1,24.08318916,4.472135955,1.490711985,131,153
166,34,7,1,28.17800561,7.615773106,2.538591035,117,66
159,34,8,1,34.53983208,7,2.333333333,112,90
160,34,9,1,33.61547263,1,0.333333333,112,270
165,33,10,1,29.52964612,5.099019514,1.699673171,118,258
166,31,11,1,29.68164416,2.236067977,0.745355992,122,206
163,30,12,1,32.75667871,3.16227766,1.054092553,121,108
169,30,13,1,27.80287755,6,2,127,270
167,28,14,1,30.61045573,2.828427125,0.942809042,128,135
120,278,1,2,,,,,
115,264,2,2,14.86606875,14.86606875,4.955356249,160,160
113,263,3,2,16.55294536,2.236067977,0.745355992,154,116
105,265,4,2,19.84943324,8.246211251,2.748737084,130,75
93,268,5,2,28.7923601,12.36931688,4.123105626,110,75
108,266,6,2,16.97056275,15.13274595,5.04424865,135,262
107,267,7,2,17.02938637,1.414213562,0.471404521,130,45
95,255,8,2,33.9705755,16.97056275,5.656854249,132,135
114,252,9,2,26.68332813,19.23538406,6.411794687,167,261
132,264,10,2,18.43908891,21.63330765,7.211102551,220,303
129,263,11,2,17.49285568,3.16227766,1.054092553,210,108
143,263,12,2,27.45906044,14,4.666666667,236,270
174,257,13,2,57.93962375,31.57530681,10.52510227,248,259
205,248,14,2,90.13878189,32.28002478,10.76000826,250,253
197,245,15,2,83.77350416,8.544003745,2.848001248,246,110
186,235,16,2,78.77182237,14.86606875,4.955356249,236,132
179,230,17,2,76.05918748,8.602325267,2.867441756,230,125
169,219,18,2,76.69419796,14.86606875,4.955356249,219,137
174,229,19,2,72.9177619,11.18033989,3.726779962,227,333
171,223,20,2,75.00666637,6.708203932,2.236067977,222,153
172,224,21,2,74.96665926,1.414213562,0.471404521,223,315
165,219,22,2,74.20242584,8.602325267,2.867441756,217,125
151,212,23,2,72.9177619,15.65247584,5.217491947,205,116
151,214,24,2,71.11258679,2,0.666666667,205,360
260,96,1,3,,,,,
253,84,2,3,13.89244399,13.89244399,4.630814663,149,149
253,85,3,3,13.03840481,1,0.333333333,147,360
257,120,4,3,24.18677324,35.22782991,11.74260997,7,353
257,122,5,3,26.17250466,2,0.666666667,6,360
259,122,6,3,26.01922366,2,0.666666667,2,270
259,122,7,3,26.01922366,0,0,2,
261,123,8,3,27.01851217,2.236067977,0.745355992,357,296
261,125,9,3,29.01723626,2,0.666666667,358,360
262,127,10,3,31.06444913,2.236067977,0.745355992,356,333
263,128,11,3,32.14031736,1.414213562,0.471404521,354,315
263,129,12,3,33.13608305,1,0.333333333,354,360
263,127,13,3,31.144823,2,0.666666667,354,180
262,129,14,3,33.06055051,2.236067977,0.745355992,356,26
263,133,15,3,37.12142239,4.123105626,1.374368542,355,345
263,127,16,3,31.144823,6,2,354,180
297,111,17,3,39.92492956,37.57658846,12.52552949,292,244
304,100,18,3,44.18144407,13.03840481,4.346134937,275,212
324,95,19,3,64.00781202,20.61552813,6.871842709,269,255
344,94,20,3,84.02380615,20.02498439,6.674994798,268,267
366,94,21,3,106.0188662,22,7.333333333,268,270
382,83,22,3,122.6906679,19.41648784,6.472162613,263,235
387,80,23,3,128.0039062,5.830951895,1.943650632,262,239
380,78,24,3,121.3424905,7.280109889,2.426703296,261,105
263,126,1,4,,,,,
254,117,2,4,12.72792206,12.72792206,4.242640687,135,135
252,83,3,4,44.38468204,34.05877273,11.35292424,165,176
256,118,4,4,10.63014581,35.22782991,11.74260997,138,353
256,120,5,4,9.219544457,2,0.666666667,130,360
258,120,6,4,7.810249676,2,0.666666667,140,270
258,121,7,4,7.071067812,1,0.333333333,135,360
260,122,8,4,5,2.236067977,0.745355992,143,296
260,123,9,4,4.242640687,1,0.333333333,135,360
261,125,10,4,2.236067977,2.236067977,0.745355992,116,333
261,126,11,4,2,1,0.333333333,90,360
262,127,12,4,1.414213562,1.414213562,0.471404521,45,315
261,125,13,4,2.236067977,2.236067977,0.745355992,116,153
261,127,14,4,2.236067977,2,0.666666667,63,360
262,131,15,4,5.099019514,4.123105626,1.374368542,11,345
262,125,16,4,1.414213562,6,2,135,180
296,109,17,4,37.12142239,37.57658846,12.52552949,242,244
303,98,18,4,48.82622246,13.03840481,4.346134937,235,212
322,92,19,4,68.09552114,19.92485885,6.641619615,240,252
343,92,20,4,86.92525525,21,7,246,270
366,92,21,4,108.4665847,23,7.666666667,251,270
382,81,22,4,127.2242115,19.41648784,6.472162613,249,235
386,78,23,4,132.0340865,5,1.666666667,248,233
379,76,24,4,126.3170614,7.280109889,2.426703296,246,105
318,128,1,5,,,,,
309,115,2,5,15.8113883,15.8113883,5.270462767,145,145
318,113,3,5,15,9.219544457,3.073181486,180,257
325,111,4,5,18.38477631,7.280109889,2.426703296,202,254
327,109,5,5,21.02379604,2.828427125,0.942809042,205,225
328,105,6,5,25.07987241,4.123105626,1.374368542,203,194
328,109,7,5,21.47091055,4,1.333333333,207,360
329,111,8,5,20.24845673,2.236067977,0.745355992,212,333
327,116,9,5,15,5.385164807,1.795054936,216,21
315,109,10,5,19.23538406,13.89244399,4.630814663,171,120
318,116,11,5,12,7.615773106,2.538591035,180,336
327,112,12,5,18.35755975,9.848857802,3.282952601,209,246
323,122,13,5,7.810249676,10.77032961,3.590109871,219,21
305,140,14,5,17.69180601,25.45584412,8.485281374,47,45
307,136,15,5,13.60147051,4.472135955,1.490711985,53,206
298,139,16,5,22.82542442,9.486832981,3.16227766,61,71
299,114,17,5,23.60084744,25.01999201,8.339997335,126,182
304,103,18,5,28.65309756,12.08304597,4.027681991,150,204
325,98,19,5,30.8058436,21.58703314,7.195677715,193,256
343,96,20,5,40.60788101,18.11077028,6.036923425,217,263
366,96,21,5,57.68882041,23,7.666666667,236,270
382,86,22,5,76.55063684,18.86796226,6.289320755,236,237
386,82,23,5,82.09750301,5.656854249,1.885618083,235,225
379,80,24,5,77.62087348,7.280109889,2.426703296,231,105
401,145,1,6,,,,,
390,135,2,6,14.86606875,14.86606875,4.955356249,132,132
386,138,3,6,16.55294536,5,1.666666667,115,53
371,172,4,6,40.36087214,37.16180835,12.38726945,48,23
384,155,5,6,19.72308292,21.40093456,7.133644853,59,217
391,145,6,6,10,12.20655562,4.068851872,90,214
387,153,7,6,16.1245155,8.94427191,2.98142397,60,26
385,156,8,6,19.41648784,3.605551275,1.201850425,55,33
386,156,9,6,18.60107524,1,0.333333333,53,270
383,161,10,6,24.08318916,5.830951895,1.943650632,48,30
385,158,11,6,20.61552813,3.605551275,1.201850425,50,213
384,153,12,6,18.78829423,5.099019514,1.699673171,64,168
389,149,13,6,12.64911064,6.403124237,2.134374746,71,231
389,148,14,6,12.36931688,1,0.333333333,75,180
389,150,15,6,13,2,0.666666667,67,360
390,149,16,6,11.70469991,1.414213562,0.471404521,70,225
390,154,17,6,14.2126704,5,1.666666667,50,360
390,157,18,6,16.2788206,3,1,42,360
388,164,19,6,23.02172887,7.280109889,2.426703296,34,15
383,167,20,6,28.42534081,5.830951895,1.943650632,39,59
382,175,21,6,35.51056181,8.062257748,2.687419249,32,7
379,172,22,6,34.82814953,4.242640687,1.414213562,39,135
377,174,23,6,37.64306045,2.828427125,0.942809042,39,45
375,173,24,6,38.20994635,2.236067977,0.745355992,42,116
380,191,1,7,,,,,
372,176,2,7,17,17,5.666666667,151,151
372,173,3,7,19.6977156,3,1,156,180
373,172,4,7,20.24845673,1.414213562,0.471404521,159,225
386,151,5,7,40.44749683,24.69817807,8.232726023,188,211
